id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,house_age,yr_after_renovation,price
7129300520,2014-10-13,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,59,0,221900
6414100192,2014-12-09,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,63,23,538000
5631500400,2015-02-25,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,82,0,180000
2487200875,2014-12-09,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,49,0,604000
1954400510,2015-02-18,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,28,0,510000
7237550310,2014-05-12,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,13,0,1230000
1321400060,2014-06-27,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,19,0,257500
2008000270,2015-01-15,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,52,0,291850
2414600126,2015-04-15,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,55,0,229500
3793500160,2015-03-12,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,12,0,323000
1736800520,2015-04-03,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,50,0,662500
9212900260,2014-05-27,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,72,0,468000
114101516,2014-05-28,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,87,0,310000
6054650070,2014-10-07,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,37,0,400000
1175000570,2015-03-12,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,115,0,530000
9297300055,2015-01-24,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,36,0,650000
1875500060,2014-07-31,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,20,0,395000
6865200140,2014-05-29,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,98,0,485000
16000397,2014-12-05,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,93,0,189000
7983200060,2015-04-24,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,46,0,230000
6300500875,2014-05-14,4,1.75,1620,4980,1.0,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,67,0,385000
2524049179,2014-08-26,3,2.75,3050,44867,1.0,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233,4110,20336,46,0,2000000
7137970340,2014-07-03,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,19,0,285000
8091400200,2014-05-16,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,29,0,252700
3814700200,2014-11-20,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,29,0,329000
1202000200,2014-11-03,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,73,0,233000
1794500383,2014-06-26,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,99,0,937000
3303700376,2014-12-01,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,105,0,667000
5101402488,2014-06-24,3,1.75,1520,6380,1.0,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,66,0,438000
1873100390,2015-03-02,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,10,0,719000
8562750320,2014-11-10,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,11,0,580500
2426039314,2014-12-01,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,9,0,280000
461000390,2014-06-24,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,85,0,687500
7589200193,2014-11-10,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,85,0,535000
